production_companies_id,production_companies_name
11594,Passion Pictures
53490,La Trini
15455,Armian pictures
48402,Producciones Insurgentes
1853,Les Films Action
13467,TBB
49325,Parkes+MacDonald Image Nation
95346,Glasgow Film Office
80785,Shivalaya Entertainment
11619,Belgische Radio en Televisie (BRT)
6304,Robert Wise Productions
45728,Cliffhanger Productions
93471,Inkfilm
8299,Krasnoff Foster Productions
27351,Matten Productions
14639,OG Project
22562,Raven West Films Ltd.
21906,Dawliz
2881,100 Feet Productions
72518,The Foul King 2000
20182,CarpeDiem Film & TV
14016,Ministero per i Beni e le Attività Culturali (MiBAC)
37510,Hawaii Film Partners
18027,Azimuth
1107,Seven Pictures
66848,Filmové studio Barrandov
6182,Eesti Televisioon
5442,Pragmatic Pictures Ltd.
79367,La Casa de Production
24948,Mirofilm
19773,씨너스엔터테인먼트(주)
6220,Mattel
6100,Achte Babelsberg Film
23271,SOIXAN7E QUIN5E
23375,Coattails Entertainment
30795,Star Ritz Productions Co Ltd
7617,Open Sky Entertainment
1714,Les Films Concordia
41465,Mei Ah Films Production Co. Ltd.
14102,Union Film Company
90950,Time Magnetics
58658,Autochenille Production
30966,Stimuleringsfonds Nederlandse Culturele Omroepproducties
8120,Triomphe Communications
10948,La Pacte
20455,Film Consortium
3365,TYO Productions
2517,Avenging Conscience
69110,Tank Caterpillar
21760,Filmtown Entertainment Group
888,Overseas FilmGroup
51181,Delphinus
52597,RTL Television
69352,West Bay One
9011,Toloda
2236,Maguire Entertainment
58264,All Knight Productions
500,Goldcrest Films International
12177,Film Agency for Wales
12612,Camp Films
21208,Boomer Lives! Productions
2736,Premise Media Corporation
46135,Ink Connection
7736,Underworld Produktions GmbH
26680,Reprise Films
7392,Twentieth Century Fox
2829,Angel Devil Productions
44884,Glacier Films
18125,Play House Release
81735,"Fun Group, The"
13149,Magic Hour Entertainment
19850,Sunrise Films
21194,Moonfire Studio
21541,Northstar International
89807,Wong Jing's Workshop Ltd.
48613,Waterfront Pictures
11130,Royal Oaks Entertainment Inc.
60250,WhiteFlame Productions
68373,Underdogg Entertainment
44803,Imagica Corp.
67285,New Sparta Films
12821,Broadbank Investments
65270,Kellgate Limited
23568,Flywheel & Shyster
76628,Nina Paley
31079,Giasone
21751,StarGate Entertainment
75289,Filmalpha
25919,Ovation Entertainment
20490,New People Film Company
2267,First Choice Films
36148,Daydream Productions
8322,Peter Perry Productions
85535,"Darwin Collective, The"
2197,BNN TV
15979,Les Productions La Fête Inc.
6782,Moviola Film och Television AB
85740,The Centre du Cinema et de l'Audiovisuel de la Communauté Française de Belgique
19766,Coral Productions
1506,Filmation Associates
56023,Poetiche Cinematografiche
95102,VisionQuest Productions
17777,Centaur Pictures Inc.
22876,Suretone Pictures
1688,Moho Films
19424,Thompson-Paul Productions
17018,Casa de Filme 5
1705,Krabat Filmproduktion
